correlation,generative_a,estimated_a,generative_sigmasq,estimated_sigmasq
0.8409932438069192,0.9619537,0.9640351,0.07426134,0.06537656
0.9638245446119271,0.99026704,0.9948597,0.3059344,0.19755797
0.6848171571227452,0.9493436,0.949377,0.08984538,0.059429523
0.750745087031214,0.9649224,0.9438059,0.13011983,0.12045197
0.8090677828268452,0.9696914,0.96031517,0.06822117,0.0757997
0.6771187715070035,0.9383722,0.9066672,0.06690893,0.08144535
0.8577078640812583,0.9729509,0.9772956,0.09005924,0.10566643
0.9017770697243314,0.97533166,0.9757453,0.09812434,0.17905535
0.8832903352464537,0.9866,0.98163027,0.11992411,0.10022015
0.758476305420209,0.9780854,0.9709404,0.04131558,0.05459372
0.8002594888095182,0.9575928,0.95682144,0.15108597,0.083392166
0.818173893467823,0.9573697,0.9777282,0.11344465,0.10865207
0.9092230227062545,0.97003126,0.98095894,0.19345862,0.1303823
0.8553595815935332,0.9801861,0.98042953,0.07991684,0.06385535
0.6904726585716254,0.96101964,0.9635099,0.07397864,0.05333483
0.9367855890415572,0.9868498,0.987356,0.06705295,0.08847928
0.9205954335672695,0.9893753,0.98489887,0.14299288,0.121925466
0.6677828399012545,0.91774076,0.9607431,0.10811418,0.058022812
0.8433360212697636,0.9724511,0.98338044,0.09125743,0.070328295
0.9646717086514734,0.9974341,0.993507,0.15920122,0.13052562
0.902757024057124,0.98782814,0.98556626,0.05331347,0.09610552
0.7425336366293819,0.96622694,0.9493105,0.03603232,0.072827175
0.8412180259228842,0.9651529,0.96714187,0.08724596,0.06403589
0.9457628068100492,0.9924293,0.9914999,0.065228835,0.058364842
0.9788089811854371,0.9955002,0.99305755,0.10179667,0.12059847
0.8745721598995456,0.98006195,0.9752271,0.12475836,0.11998913
0.8124409729985558,0.9818508,0.97031206,0.05783386,0.05825938
0.8619468108074899,0.97344446,0.9714084,0.13815972,0.117344014
0.851294492431119,0.9684603,0.96015435,0.11369132,0.17534594
0.8190653234984518,0.968217,0.96498936,0.071436144,0.07202386
0.866487580814013,0.9659771,0.974013,0.13690631,0.122920476
0.9381185252669642,0.9880767,0.9879883,0.10551853,0.07803568
0.9535825333732055,0.9930297,0.9845071,0.12186025,0.14757754
0.9194693265070923,0.97383815,0.9889454,0.21655875,0.123523556
0.930995117535219,0.98958397,0.98872656,0.07700481,0.0914865
0.912531961429114,0.9696903,0.97552866,0.15247473,0.105920225
0.9189675974028156,0.9863049,0.98502487,0.20175299,0.121513374
0.6096255505960881,0.9378882,0.9512497,0.060509376,0.06755854
0.7021821175971389,0.94212896,0.972888,0.1246351,0.06103982
0.8620064590730336,0.9590457,0.96843946,0.11852755,0.113989495
0.9457702917392468,0.9922569,0.99073887,0.11166663,0.08538196
0.9734169214427076,0.99690866,0.9974856,0.08086304,0.11432242
0.9323881338221015,0.9909915,0.9858123,0.05667808,0.07721389
0.9488791644828511,0.99667925,0.99643826,0.12304877,0.1589124
